2024-07-21T19:41:02,Transformed end
2024-07-21T19:41:02,Loaded start
2024-07-21T19:41:02,Loaded end
2024-07-21T19:41:02,DONE ETL
2024-07-21T19:41:28,RUN ETL
2024-07-21T19:41:28,Extracted start
2024-07-21T19:41:28,Extracted end
2024-07-21T19:41:28,Transformed start
2024-07-21T19:41:28,Transformed end
2024-07-21T19:41:28,Loaded start
2024-07-21T19:41:28,Loaded end
2024-07-21T19:41:28,DONE ETL
2024-07-21T19:49:25,RUN ETL
2024-07-21T19:49:25,Extracted start
2024-07-21T19:49:26,Extracted end
2024-07-21T19:49:26,Transformed start
2024-07-21T19:49:26,Transformed end
2024-07-21T19:49:26,Loaded start
2024-07-21T19:49:26,Loaded end
2024-07-21T19:49:26,DONE ETL
2024-07-21T19:55:51,RUN ETL
2024-07-21T19:55:51,Extracted start
2024-07-21T19:55:51,Extracted end
2024-07-21T19:55:51,Transformed start
2024-07-21T19:56:28,RUN ETL
2024-07-21T19:56:28,Extracted start
2024-07-21T19:56:28,Extracted end
2024-07-21T19:56:28,Transformed start
2024-07-21T19:56:29,Transformed end
2024-07-21T19:56:29,Loaded start
2024-07-21T19:56:29,Loaded end
2024-07-21T19:56:29,DONE ETL
2024-07-21T19:56:50,RUN ETL
2024-07-21T19:56:50,Extracted start
2024-07-21T19:57:30,RUN ETL
2024-07-21T19:57:30,Extracted start
2024-07-21T19:58:15,RUN ETL
2024-07-21T19:58:15,Extracted start
2024-07-21T19:58:24,RUN ETL
2024-07-21T19:58:24,Extracted start
2024-07-21T19:58:37,RUN ETL
2024-07-21T19:58:37,Extracted start
2024-07-21T19:58:54,RUN ETL
2024-07-21T19:58:54,Extracted start
2024-07-21T20:04:58,RUN ETL
2024-07-21T20:04:58,Extracted start
2024-07-21T20:05:05,RUN ETL
2024-07-21T20:05:05,Extracted start
2024-07-21T20:05:05,Extracted end
2024-07-21T20:05:05,Transformed start
2024-07-21T20:05:05,Transformed end
2024-07-21T20:05:05,Loaded start
2024-07-21T20:05:05,Loaded end
2024-07-21T20:05:05,DONE ETL
2024-07-21T20:05:33,RUN ETL
2024-07-21T20:05:33,Extracted start
2024-07-21T20:05:33,Extracted end
2024-07-21T20:05:33,Transformed start
2024-07-21T20:05:33,Transformed end
2024-07-21T20:05:33,Loaded start
2024-07-21T20:05:33,Loaded end
2024-07-21T20:05:33,DONE ETL
2024-07-21T20:07:34,RUN ETL
2024-07-21T20:07:34,Extracted start
2024-07-21T20:07:34,Extracted end
2024-07-21T20:07:34,Transformed start
2024-07-21T20:07:34,Transformed end
2024-07-21T20:07:34,Loaded start
2024-07-21T20:07:34,Loaded end
2024-07-21T20:07:34,DONE ETL
2024-07-21T20:08:13,RUN ETL
2024-07-21T20:08:13,Extracted start
2024-07-21T20:08:13,Extracted end
2024-07-21T20:08:13,Transformed start
2024-07-21T20:08:13,Transformed end
2024-07-21T20:08:13,Loaded start
2024-07-21T20:08:13,Loaded end
2024-07-21T20:08:13,DONE ETL
2024-07-21T20:09:03,RUN ETL
2024-07-21T20:09:03,Extracted start
2024-07-21T20:09:03,Extracted end
2024-07-21T20:09:03,Transformed start
2024-07-21T20:09:03,Transformed end
2024-07-21T20:09:03,Loaded start
2024-07-21T20:09:03,Loaded end
2024-07-21T20:09:03,DONE ETL
2024-07-21T20:12:10,RUN ETL
2024-07-21T20:12:10,Extracted start
2024-07-21T20:12:10,Extracted end
2024-07-21T20:12:10,Transformed start
2024-07-21T20:12:10,Transformed end
2024-07-21T20:12:10,Loaded start
2024-07-21T20:12:18,RUN ETL
2024-07-21T20:12:18,Extracted start
2024-07-21T20:12:18,Extracted end
2024-07-21T20:12:18,Transformed start
2024-07-21T20:12:18,Transformed end
2024-07-21T20:12:18,Loaded start
2024-07-21T20:12:18,Loaded end
2024-07-21T20:12:18,DONE ETL
2024-07-21T20:13:05,RUN ETL
2024-07-21T20:13:05,Extracted start
2024-07-21T20:13:05,Extracted end
2024-07-21T20:13:05,Transformed start
2024-07-21T20:13:05,Transformed end
2024-07-21T20:13:05,Loaded start
2024-07-21T20:13:05,Loaded end
2024-07-21T20:13:05,DONE ETL
2024-07-21T20:13:36,RUN ETL
2024-07-21T20:13:36,Extracted start
2024-07-21T20:13:36,Extracted end
2024-07-21T20:13:36,Transformed start
2024-07-21T20:13:36,Transformed end
2024-07-21T20:13:36,Loaded start
2024-07-21T20:14:22,RUN ETL
2024-07-21T20:14:22,Extracted start
2024-07-21T20:14:22,Extracted end
